CHSI_State_Abbr,No_Exercise,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,Influenzae,HepA,HepB,Measeles,Pertusis,Congential.Rubella,Syphilis,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol,Salmonella,Shig,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,Premature,Infant_Mortality,Brst_Cancer,Col_Cancer,CHD,ALE,All_Death,Health_Status
AL,32.8,28.9,32.921,22,9.7,8785,6799,1851,32.4,16.2,1,2,4,10,11,3,5,3,12,1111,1938,2738,2332,3,97,52,2399555,1,1,1,1,1,1,14.7,12.9,29.6,25.9,111.8,72.1,1144.3,25.4
AL,28.2,27.6,39,28.5,13,8534,6538,2029,22.1,15.2,2,1,9,7,11,3,4,3,12,1135,3385,4123,3497,5,89,35,208520,1,1,1,1,1,1,12.5,9.3,20,19.5,167.4,74.9,1059.4,25.2
AL,18.9,20.8,26.7,21,4.8,13249,10635,2661,95.6,28,1,2,6,31,6,3,19,3,9,2373,5133,9515,8223,10,96,27,7440897,1,1,1,2,1,1,12.7,6.4,25.1,17.8,146.8,76.8,923.4,9.9
AL,31.981,29.661,29.938,21.424,11.8,3465,1925,595,36.2,14.5,1,2,3,19,8,3,3,3,38,326,660,751,730,3,46,30,8006596,1,1,1,1,1,1,18.5,14.4,24.3,17.8,147.3,73.5,1022.8,19.8
AL,34.1,32.7,42.2,24.1,10.9,12378,10035,4300,38.5,21.1,1,2,5,15,25,3,9,3,75,1723,4701,4547,3867,3,109,47,1344808,1,1,1,1,1,1,16.6,10,26,20.1,154.1,73.3,1090.6,24.6
AL,32.1,23.2,30.439,29.4,5.6,6488,5808,1749,61.4,34.4,1,2,8,6,7,4,12,3,26,754,1816,2338,1906,3,53,24,66626,1,1,1,1,1,1,16.3,7.9,30.8,19.5,177.4,73.9,1046.3,21.5
AL,27.1,25.3,29.7,23.8,7.9,23311,17734,5539,97.7,32,1,2,4,16,26,3,20,3,17,2786,6263,9557,9241,11,203,133,6160225,1,1,1,1,1,1,17.8,12.9,24.7,19.4,161.6,75,1026.2,17.9
AL,34.9,30.5,35,33.8,11.5,10818,10991,3880,45.6,29.9,1,2,4,12,8,3,5,3,5,1212,4106,4022,3280,4,106,33,6492544,1,1,1,1,1,1,12.6,12.1,22.8,18.3,206.2,72.2,1191.7,27.3
AL,33.551,29.153,31.178,22.577,10.5,3037,2210,764,33.8,11.3,1,1,5,23,7,3,3,3,18,392,709,976,848,3,68,37,2337250,1,1,1,1,1,1,16.4,9.8,26.3,16.6,182.9,74.6,993.7,24.673
AL,33.246,28.789,31.939,24.921,7.6,2960,1746,781,30.9,7.7,1,1,3,9,7,3,8,3,8,307,558,679,638,3,26,9,1894381,1,1,1,1,1,1,17.3,11.3,35,22.1,143.1,71.7,1131.2,26.201
